Date,close,signal,prob,market_ret,strategy_ret,commissions,equity_market,equity_strategy
2023-03-31,28478.484375,1,0.9839082976015097,0.027751556410733347,0.027751556410733347,0.0,102.77515564107334,102.77515564107334
2023-04-30,29268.806640625,1,0.6645899482397696,-0.070011342199917,-0.070011342199917,0.0,95.57972904983642,95.57972904983642
2023-05-31,27219.658203125,1,0.837317414502977,0.11967798146804087,0.11967798146804087,0.0,107.01851809178311,107.01851809178311
2023-06-30,30477.251953125,1,0.5489064268606412,-0.04092037651288716,-0.04092037651288716,0.0,102.6392800376161,102.6392800376161
2023-07-31,29230.111328125,1,0.7219772810372043,-0.11285070504336647,-0.11285070504336647,0.0,91.05636492022761,91.05636492022761
2023-08-31,25931.47265625,0,0.3755068969571814,0.039968549920561314,-0.001,0.001,94.69575578712657,90.96530855530737
2023-09-30,26967.916015625,1,0.5998663585582865,0.28551947543569023,0.28451947543569023,0.001,121.73323830545317,116.84671042830914
2023-10-31,34667.78125,1,0.8472210835385394,0.08783270039094293,0.08783270039094293,0.0,132.42539735315532,127.10967253702607
2023-11-30,37712.74609375,1,0.8870579803016693,0.12071360157473277,0.12071360157473277,0.0,148.41094400761975,142.4535389039554
2023-12-31,42265.1875,1,0.9317791240424131,0.007510151676246579,0.007510151676246579,0.0,149.52553270753194,143.52338658794218
2024-01-31,42582.60546875,1,0.6438749735176723,0.43716858418659976,0.43716858418659976,0.0,214.89339814103076,206.2673023002589
2024-02-29,61198.3828125,1,0.7690261231827216,0.16561329171152273,0.16561329171152273,0.0,250.4826011742417,240.42790920666053
2024-03-31,71333.6484375,1,0.9183901120897179,-0.14995437921729393,-0.14995437921729393,0.0,212.92163821042527,204.37469133506383
2024-04-30,60636.85546875,1,0.6456336488976498,0.11304277803921714,0.11304277803921714,0.0,236.99089169839286,227.477774204487
2024-05-31,67491.4140625,0,0.17884181492240483,-0.07131456883230869,-0.001,0.001,220.0899884397376,227.2502964302825
2024-06-30,62678.29296875,1,0.5232578417244178,0.030966973402063003,0.029966973402063002,0.001,226.9055092578113,234.0603000190197
2024-07-31,64619.25,0,0.16258505172738355,-0.08742521094720224,-0.001,0.001,207.0682472458648,233.82623971900068
2024-08-31,58969.8984375,0,0.38230428480155904,0.07392927032290175,0.0,0.0,222.37665167179378,233.82623971900068
2024-09-30,63329.5,1,0.7544943820006644,0.10872796248193972,0.10772796248193972,0.001,246.55521191162393,259.0158640987422
2024-10-31,70215.1875,1,0.8944326501526656,0.3736209803256596,0.3736209803256596,0.0,338.6734118904456,355.78962516321207
